TITEL;START YEAR;END YEAR;DURATION;COUNTRY;CAPTAIN;PURPOSE;SHIP;SHIP TYPE;INFORMATION
Belgica Expedition;1897;1899;1897-1899;Belgium;Adrien de Gerlache de Gomery;Expedition & Mapping;Belgica;Steam-Powered Research Ship;The Belgian Antarctic Expedition marks the beginning of the so-called heroic age of Antarctic exploration. They also collected extensive meteorological data as well as biological and geological samples. For the first time, they studied the flow conditions on the Antarctic coast and mapped the west coast of the Antarctic Peninsula.
British Antarctic Expedition;1898;1900;1898-1900;England;Carsten Borchgrevink;Expedition;SS Southern Cross;Steam-Powered Research Ship;The first expedition to overwinter on the Antarctic mainland (Cape Adare), it was the first to make use of dogs and sledges. It made the first ascent of The Great Ice Barrier,[22] and set a Farthest South record at 78°30'S
National Antarctic Expedition;1901;1904;1901-1904;England;Robert Falcon Scott;Expedition & Research;RRS Discovery;Steam-Powered Research Ship;The expedition tried to reach the South Pole travelling as far as the Farthest South mark at a reported 82°17_S. Its scientific results covered extensive ground in biology, zoology, geology, meteorology and magnetism. The expedition discovered the existence of the only snow-free Antarctic valleys, which contain Antarctica's longest river. Further achievements included the discoveries of the Cape Crozier emperor penguin colony, King Edward VII Land, and the Polar Plateau on which the South Pole is located.
Gauss Expedition;1901;1903;1901-1903;Germany;Erich von Drygalski;Expedition & Research;Gauss;Steam-Powered Research Ship;They were the first expedition to investigate the eastern Antarctica and discovered the coast of Kaiser Wilhelm II Land and Mount Gauss. Drygalski was the first to use a gas balloon in Antarctica. They collected the first comprehensive scientific information on the island's geology, flora and fauna.
Swedish Antarctic Expedition;1901;1903;1901-1903;Sweden;Otto Nordenskild;Expedition & Research;Antarctic;Steam-Powered Research Ship (Two Boilers & Two-cylinder engine);Two key Antarctic islands are associated with this expedition (Snow Hill Island & Paulet Island ).The expedition, which also recovered valuable geological samples and samples of marine animals, earned Nordenskjld lasting fame at home, but its huge cost left him greatly in debt.
Scottish National Antarctic Expedition;1902;1904;1902-1904;Scottland;William Speirs Bruce;Expedition & Research;Scotia;Steam-Powered Research Ship (Two Boilers & Two-cylinder engine);"The expedition has been described as ""by far the most cost-effective and carefully planned scientific expedition of the Heroic Age"". They discovered the coastline of Coats Land and defined the sea's eastern limits. The SNAE's permanent memorial is the Orcadas weather station, which was set up in 1903 as ""Omond House"" on Laurie Island, South Orkneys, and has been in continuous operation ever since."
Third French Antarctic Expedition;1903;1905;1903-1905;France;Jean-Baptiste Charcot;Expedition;Francais;Steam-Powered Research Ship (Two Boilers & Two-cylinder engine);The expedition reached Adelaide Island in 1905 and took pictures of the Palmer Archipelago and Loubet Coast. Loubet Land was explored in January 1905 and named after mile Loubet, then President of France. Mount Francais in the Trojan Range was named after the expedition ship Francais.
Nimrod Expedition;1907;1909;1907-1909;United Kingdom;Ernest Shackleton;Expedition & Research;Nimrod;Auxiliary Ship with Steam Engine;The expeditions main target, among a range of geographical and scientific objectives, was to be first to the South Pole. This was not attained, but the expedition's southern march reached a Farthest South latitude of 88° 23' S. This was by far the longestsouthern polar journey to that date and a record convergence on either Pole.
Fourth French Antarctic Expedition;1908;1910;1908-1910;France;Jean-Baptiste Charcot;Expedition;Pourquoi-Pas? IV;Steam-Powered Research Ship (Two Boilers & Two-cylinder engine);The expedition explored the Bellingshausen Sea and the Amundsen Sea. They discovered, charted and named several features: Loubet Land, Charcot Island, Port Circumcision, Renaud Island, Fallieres Coast, Marguerite Bay, Jenny Island,  Pavie Ridge, Adelaide Island,  Millerand Island, Rothschild Island.
Japanese Antarctic Expedition;1910;1912;1910-1912;Japan;Nobu Shirase;Expedition;Kainan Maru;Steam-Powered Research Ship (Two Boilers & Two-cylinder engine);This was the first exploration of Antarctic territory by an expedition from Japan. The main specific objective was exploring King Edward VII Land. They also explored the Great Ice Barrier and Alexandra Range.
Roald Amundsen's South Pole Expedition;1910;1912;1910-1912;Norway;Roald Amundsen;Expedition;Fram;Three-Masted Sailing Ship;The first expedition to reach the geographic South Pole. Amundsen's initial plans had focused on the Arctic and the conquest of the North Pole by means of an extended drift in an icebound ship.
